('Delta Air Lines', '2020-09-11T10:57', '2020-09-12T02:04', '907', '7183', '500', 'DL 144', 'E-170', '240', '6', '13'), 
('Alaska Airlines', '2020-11-16T13:41', '2020-11-16T17:19', '218', '933', '200', 'AS 1366', 'A320', '323', '7', '2'), 
('Norwegian', '2020-11-12T01:57', '2020-11-12T15:41', '824', '2857', '1000', 'NW 1814', 'SR-71 Blackbird', '477', '6', '13'), 
('Air Canada', '2020-12-13T17:06', '2020-12-14T22:55', '1789', '5035', '300', 'AC 888', 'A220', '504', '20', '8'), 
('American Airlines', '2020-02-06T11:58', '2020-02-07T16:43', '1725', '8376', '1000', 'AA 887', 'CRJ1000', '153', '20', '19'), 
('American Airlines', '2020-02-19T14:16', '2020-02-20T18:30', '1694', '5474', '1000', 'AA 1201', 'SR-71 Blackbird', '313', '7', '9'), 
('British Airways', '2020-07-19T09:35', '2020-07-20T08:05', '1350', '1539', '1000', 'BA 1313', 'Boeing 747', '139', '26', '0'), 
('JetBlue Airways', '2020-03-26T08:06', '2020-03-27T12:35', '1709', '7176', '500', 'B6 904', 'A220', '391', '18', '15'), 
('British Airways', '2020-03-24T17:50', '2020-03-25T10:57', '1027', '6946', '300', 'BA 777', 'CRJ900', '185', '21', '11'), 
('JetBlue Airways', '2020-11-27T16:09', '2020-11-28T16:52', '1483', '3983', '300', 'B6 151', 'A320', '148', '26', '22'), 
('Delta Air Lines', '2020-03-21T19:42', '2020-03-22T20:22', '1480', '9766', '500', 'DL 1354', 'SR-71 Blackbird', '204', '8', '18'), 
('Alaska Airlines', '2020-11-12T23:11', '2020-11-12T24:23', '72', '1676', '500', 'AS 842', 'A300', '410', '10', '15'), 
('WOW Air', '2020-06-16T11:30', '2020-06-17T01:01', '811', '8089', '500', 'WA 1795', 'A300', '175', '17', '14'), 
('SAS', '2020-10-10T04:41', '2020-10-11T04:52', '1451', '2328', '500', 'SA 152', 'E-195', '550', '24', '12'), 
('Lufthansa', '2020-11-25T01:33', '2020-11-26T01:36', '1443', '6940', '200', 'LH 1803', 'A319', '225', '23', '5'), 
('SAS', '2020-02-29T05:26', '2020-02-30T03:32', '1326', '8239', '200', 'SA 1072', 'A300', '198', '9', '7'), 
('Frontier Airlines', '2020-06-20T09:02', '2020-06-20T15:25', '383', '7185', '300', 'F9 444', 'A220', '299', '26', '27'), 
('Alaska Airlines', '2020-10-25T15:56', '2020-10-25T17:52', '116', '3662', '300', 'AS 298', 'A320', '215', '1', '27'), 
('Frontier Airlines', '2020-12-11T01:26', '2020-12-12T06:27', '1741', '8378', '500', 'F9 1463', 'A321', '272', '0', '26'), 
('SAS', '2020-07-07T16:49', '2020-07-08T15:07', '1338', '4694', '500', 'SA 1738', 'Boeing 737', '568', '11', '26'), 
('Alaska Airlines', '2020-05-28T13:10', '2020-05-28T22:27', '557', '9355', '1000', 'AS 756', 'Boeing 767', '201', '28', '22'), 
('JetBlue Airways', '2020-09-23T22:33', '2020-09-23T24:48', '135', '4145', '300', 'B6 266', 'CRJ700', '397', '8', '13'), 
('Delta Air Lines', '2020-09-06T14:46', '2020-09-07T14:31', '1425', '4896', '500', 'DL 245', 'Boeing 787', '334', '10', '25'), 
('American Airlines', '2020-07-09T22:23', '2020-07-10T02:05', '222', '4816', '1000', 'AA 542', 'E-170', '467', '29', '9'), 
('JetBlue Airways', '2020-04-14T14:58', '2020-04-14T22:35', '457', '3460', '300', 'B6 1847', 'A300', '259', '13', '24'), 
('SAS', '2020-04-23T09:04', '2020-04-23T16:50', '466', '6787', '300', 'SA 1653', 'E-170', '148', '18', '14'), 
('British Airways', '2020-06-27T15:46', '2020-06-28T15:30', '1424', '817', '200', 'BA 1616', 'CRJ900', '203', '3', '5'), 
('SAS', '2020-09-15T22:45', '2020-09-15T23:40', '55', '3300', '500', 'SA 1309', 'Boeing 747', '545', '3', '7'), 
('WOW Air', '2020-08-26T17:37', '2020-08-27T03:46', '609', '6993', '500', 'WA 1362', 'A350', '234', '5', '20'), 
('British Airways', '2020-06-12T07:32', '2020-06-13T10:16', '1604', '9476', '300', 'BA 1456', 'A310', '246', '5', '6'), 
('Delta Air Lines', '2020-06-08T16:09', '2020-06-08T18:05', '116', '1778', '1000', 'DL 1179', 'E-195', '321', '1', '18'), 
('SAS', '2020-02-22T23:13', '2020-02-22T24:27', '74', '5788', '300', 'SA 1185', 'A380', '590', '12', '9'), 
('Norwegian', '2020-05-24T17:34', '2020-05-24T21:43', '249', '2597', '500', 'NW 520', 'A350', '425', '3', '14'), 
('Alaska Airlines', '2020-08-26T14:26', '2020-08-27T14:32', '1446', '7584', '1000', 'AS 529', 'E-190', '215', '2', '4'), 
('JetBlue Airways', '2020-02-11T16:34', '2020-02-11T20:30', '236', '3037', '300', 'B6 1802', 'Boeing 787', '212', '19', '4'), 
('British Airways', '2020-02-19T12:00', '2020-02-19T18:46', '406', '9104', '300', 'BA 1872', 'A220', '219', '4', '27'), 
('JetBlue Airways', '2020-02-25T16:58', '2020-02-25T22:01', '303', '5055', '1000', 'B6 1106', 'A320', '192', '16', '25'), 
('Air Canada', '2020-10-25T13:01', '2020-10-26T18:31', '1770', '6389', '1000', 'AC 614', 'A319', '293', '0', '19'), 
('Delta Air Lines', '2020-05-23T15:11', '2020-05-23T18:55', '224', '1155', '500', 'DL 569', 'A380', '234', '14', '6'), 
('Frontier Airlines', '2020-10-02T10:37', '2020-10-03T01:13', '876', '9347', '500', 'F9 1159', 'E-175', '90', '17', '8'), 
('Frontier Airlines', '2020-11-11T06:35', '2020-11-12T22:31', '2396', '6413', '500', 'F9 1439', 'Boeing 747', '367', '23', '19'), 
('Frontier Airlines', '2020-09-19T05:18', '2020-09-20T05:32', '1454', '7954', '500', 'F9 1911', 'E-195', '150', '9', '27'), 
('Frontier Airlines', '2020-02-25T00:09', '2020-02-26T07:22', '1873', '7121', '300', 'F9 1925', 'SR-71 Blackbird', '342', '19', '11'), 
('Lufthansa', '2020-01-12T05:42', '2020-01-13T10:18', '1716', '3517', '300', 'LH 1889', 'E-175', '460', '14', '23'), 
('British Airways', '2020-10-19T01:22', '2020-10-19T21:49', '1227', '7360', '1000', 'BA 426', 'E-195', '136', '28', '10'), 
('American Airlines', '2020-12-08T14:59', '2020-12-09T09:50', '1131', '3970', '300', 'AA 1927', 'E-190', '464', '18', '12'), 
('Frontier Airlines', '2020-07-02T17:08', '2020-07-03T03:33', '625', '1912', '300', 'F9 662', 'A320', '458', '21', '18'), 
('American Airlines', '2020-02-16T06:04', '2020-02-17T14:45', '1961', '1369', '300', 'AA 272', 'E-175', '260', '13', '6'), 
('JetBlue Airways', '2020-08-27T10:24', '2020-08-28T09:51', '1407', '4535', '500', 'B6 1292', 'Boeing 787', '424', '24', '28'), 
('American Airlines', '2020-03-05T10:06', '2020-03-06T11:51', '1545', '4534', '300', 'AA 1645', 'SR-71 Blackbird', '229', '2', '9'), 
('Air Canada', '2020-02-11T04:24', '2020-02-11T19:38', '914', '7435', '200', 'AC 1310', 'A320', '222', '4', '25'), 
('Finnair', '2020-07-22T19:20', '2020-07-22T23:44', '264', '1937', '500', 'FA 1014', 'A319', '543', '1', '5'), 
('Lufthansa', '2020-04-07T17:45', '2020-04-08T03:01', '556', '3142', '200', 'LH 1247', 'Boeing 767', '427', '25', '24'), 
('JetBlue Airways', '2020-05-16T18:17', '2020-05-17T03:05', '528', '757', '300', 'B6 1101', 'A318', '479', '4', '12'), 
('American Airlines', '2020-11-06T06:47', '2020-11-06T19:51', '784', '8671', '1000', 'AA 265', 'A340', '492', '23', '7'), 
('Norwegian', '2020-05-09T05:30', '2020-05-10T11:38', '1808', '6653', '300', 'NW 510', 'E-170', '536', '26', '25'), 
('Lufthansa', '2020-10-15T09:53', '2020-10-16T20:00', '2047', '5758', '500', 'LH 854', 'CRJ700', '254', '23', '16'), 
('JetBlue Airways', '2020-07-03T08:35', '2020-07-03T18:39', '604', '6421', '200', 'B6 1740', 'CRJ900', '55', '10', '23'), 
('Norwegian', '2020-05-03T15:22', '2020-05-03T23:22', '480', '5389', '500', 'NW 1800', 'A321', '518', '9', '3'), 
('Norwegian', '2020-06-28T01:29', '2020-06-28T20:01', '1112', '5291', '500', 'NW 1011', 'A350', '239', '13', '8'), 
('Finnair', '2020-07-08T02:01', '2020-07-09T18:07', '2406', '4372', '300', 'FA 1989', 'SR-71 Blackbird', '176', '26', '2'), 
('Frontier Airlines', '2020-10-08T05:43', '2020-10-09T19:13', '2250', '7254', '300', 'F9 936', 'A350', '107', '13', '24'), 
('SAS', '2020-09-26T14:29', '2020-09-26T18:01', '212', '5139', '200', 'SA 801', 'A220', '116', '2', '13'), 
('WOW Air', '2020-04-19T09:33', '2020-04-20T15:41', '1808', '4740', '300', 'WA 510', 'SR-71 Blackbird', '139', '21', '8'), 
('Lufthansa', '2020-06-16T11:26', '2020-06-17T21:15', '2029', '9653', '300', 'LH 1409', 'E-195', '436', '9', '23'), 
('Air Canada', '2020-10-28T11:15', '2020-10-28T17:41', '386', '7183', '200', 'AC 208', 'Boeing 767', '361', '6', '16'), 
('SAS', '2020-09-01T21:24', '2020-09-01T23:06', '102', '4201', '300', 'SA 1505', 'A340', '392', '5', '19'), 
('Lufthansa', '2020-10-08T08:34', '2020-10-08T17:22', '528', '6840', '200', 'LH 1492', 'Boeing 767', '198', '21', '28'), 
('Delta Air Lines', '2020-04-06T21:11', '2020-04-06T23:39', '148', '9615', '200', 'DL 642', 'A319', '403', '18', '28'), 
('WOW Air', '2020-02-15T02:35', '2020-02-16T13:53', '2118', '6275', '500', 'WA 999', 'CRJ900', '269', '9', '18'), 
('American Airlines', '2020-04-09T19:27', '2020-04-10T22:48', '1641', '1123', '200', 'AA 1449', 'SR-71 Blackbird', '252', '13', '10'), 
('Alaska Airlines', '2020-04-12T19:33', '2020-04-12T21:26', '113', '5647', '200', 'AS 768', 'A300', '117', '10', '14'), 
('Norwegian', '2020-04-23T21:50', '2020-04-24T12:31', '881', '9683', '1000', 'NW 230', 'Boeing 737', '451', '18', '4'), 
('Lufthansa', '2020-11-23T01:38', '2020-11-23T12:41', '663', '1218', '1000', 'LH 241', 'Millennium Falcon', '417', '24', '9'), 
('Finnair', '2020-06-03T17:29', '2020-06-04T13:10', '1181', '2805', '1000', 'FA 1581', 'A320', '253', '6', '28'), 
('Air Canada', '2020-09-26T14:17', '2020-09-26T18:54', '277', '8599', '200', 'AC 1515', 'A321', '276', '5', '27'), 
('British Airways', '2020-11-22T10:23', '2020-11-22T21:30', '667', '2800', '500', 'BA 983', 'Boeing 777', '474', '13', '22'), 
('Frontier Airlines', '2020-06-04T10:50', '2020-06-05T13:52', '1622', '662', '500', 'F9 1660', 'A330', '424', '10', '5'), 
('Finnair', '2020-02-12T21:59', '2020-02-12T23:16', '77', '1480', '1000', 'FA 164', 'A220', '178', '22', '10'), 
('British Airways', '2020-03-23T15:30', '2020-03-23T18:42', '192', '1597', '300', 'BA 561', 'A321', '575', '14', '18'), 
('SAS', '2020-04-28T04:57', '2020-04-29T12:03', '1866', '9423', '500', 'SA 1022', 'Boeing 787', '598', '25', '15'), 
('Finnair', '2020-08-12T07:44', '2020-08-12T23:07', '923', '7473', '1000', 'FA 178', 'A350', '290', '7', '2'), 
('Frontier Airlines', '2020-02-11T21:58', '2020-02-12T04:25', '387', '7753', '200', 'F9 1381', 'E-190', '331', '28', '19'), 
('WOW Air', '2020-02-20T05:21', '2020-02-20T22:36', '1035', '9359', '300', 'WA 844', 'A319', '128', '14', '4'), 
('American Airlines', '2020-12-19T15:12', '2020-12-19T20:19', '307', '6407', '500', 'AA 1989', 'Boeing 747', '267', '23', '6'), 
('American Airlines', '2020-06-20T16:36', '2020-06-20T21:35', '299', '4774', '1000', 'AA 1651', 'A350', '195', '5', '21'), 
('Alaska Airlines', '2020-04-18T20:15', '2020-04-18T22:31', '136', '9935', '500', 'AS 293', 'E-175', '240', '5', '2'), 
('Air Canada', '2020-03-25T10:36', '2020-03-26T22:19', '2143', '6624', '200', 'AC 1815', 'Boeing 777', '373', '15', '26'), 
('Norwegian', '2020-03-12T13:32', '2020-03-13T15:40', '1568', '1219', '300', 'NW 314', 'CRJ705', '239', '12', '25'), 
('Alaska Airlines', '2020-09-26T04:00', '2020-09-26T18:27', '867', '8394', '500', 'AS 1110', 'E-195', '107', '20', '5'), 
('SAS', '2020-08-04T15:13', '2020-08-05T20:40', '1767', '1557', '500', 'SA 1799', 'A340', '539', '14', '22'), 
('Delta Air Lines', '2020-05-22T04:18', '2020-05-22T18:22', '844', '8843', '1000', 'DL 1640', 'Boeing 777', '334', '9', '4'), 
('Frontier Airlines', '2020-03-20T11:39', '2020-03-21T16:18', '1719', '9856', '500', 'F9 766', 'A318', '503', '19', '3'), 
('Lufthansa', '2020-07-06T21:07', '2020-07-06T23:50', '163', '2883', '500', 'LH 638', 'E-195', '262', '13', '1'), 
('SAS', '2020-12-26T21:30', '2020-12-27T21:35', '1445', '9549', '200', 'SA 988', 'Boeing 747', '167', '1', '23'), 
('SAS', '2020-06-26T03:46', '2020-06-27T06:47', '1621', '3368', '200', 'SA 1186', 'A320', '246', '9', '15'), 
('Air Canada', '2020-02-20T06:29', '2020-02-21T12:48', '1819', '9419', '500', 'AC 289', 'Boeing 767', '559', '7', '5'), 
('Delta Air Lines', '2020-04-19T20:14', '2020-04-20T01:13', '299', '5291', '500', 'DL 1999', 'Boeing 747', '446', '4', '1'), 
('Air Canada', '2020-10-20T11:24', '2020-10-20T19:41', '497', '4434', '200', 'AC 737', 'A319', '246', '3', '10'), 
('JetBlue Airways', '2020-10-13T07:54', '2020-10-14T07:35', '1421', '8174', '300', 'B6 1034', 'A319', '468', '13', '22'), 
('SAS', '2020-09-13T05:09', '2020-09-14T09:03', '1674', '2227', '500', 'SA 871', 'CRJ900', '99', '3', '25'), 
('Delta Air Lines', '2020-09-21T05:11', '2020-09-22T01:26', '1215', '2807', '300', 'DL 298', 'E-175', '582', '20', '12'), 
('Frontier Airlines', '2020-05-24T21:58', '2020-05-25T05:09', '431', '5286', '200', 'F9 384', 'SR-71 Blackbird', '263', '26', '18'), 
('American Airlines', '2020-02-08T14:05', '2020-02-08T21:40', '455', '2912', '500', 'AA 1029', 'Boeing 767', '61', '8', '21'), 
('WOW Air', '2020-10-26T04:39', '2020-10-26T23:50', '1151', '1254', '300', 'WA 1166', 'Boeing 777', '231', '12', '19'), 
('SAS', '2020-04-23T16:17', '2020-04-23T23:06', '409', '8509', '300', 'SA 306', 'A320', '335', '24', '9'), 
('JetBlue Airways', '2020-02-05T06:23', '2020-02-06T04:57', '1354', '9504', '300', 'B6 1275', 'E-175', '554', '26', '3'), 
('WOW Air', '2020-09-18T06:40', '2020-09-19T08:56', '1576', '3139', '1000', 'WA 371', 'E-190', '574', '19', '16'), 
('Delta Air Lines', '2020-08-10T05:10', '2020-08-11T13:06', '1916', '5489', '200', 'DL 1205', 'Boeing 747', '206', '21', '24'), 
('Delta Air Lines', '2020-01-12T18:16', '2020-01-13T16:22', '1326', '7244', '200', 'DL 198', 'SR-71 Blackbird', '574', '24', '5'), 
('JetBlue Airways', '2020-08-07T23:54', '2020-08-08T03:02', '188', '4453', '500', 'B6 1412', 'E-175', '401', '13', '18'), 
('American Airlines', '2020-12-08T18:11', '2020-12-09T07:19', '788', '6578', '500', 'AA 1335', 'CRJ1000', '359', '27', '25'), 
('Air Canada', '2020-10-12T16:58', '2020-10-12T21:49', '291', '5859', '300', 'AC 1442', 'E-175', '335', '27', '3'), 
('Frontier Airlines', '2020-09-17T12:17', '2020-09-18T09:26', '1269', '7571', '200', 'F9 861', 'A220', '217', '4', '23'), 
('JetBlue Airways', '2020-12-22T06:39', '2020-12-22T22:29', '950', '9217', '1000', 'B6 478', 'A310', '319', '2', '24'), 
('Finnair', '2020-02-04T17:41', '2020-02-04T21:47', '246', '6422', '300', 'FA 1630', 'Boeing 767', '582', '23', '12'), 
('Lufthansa', '2020-08-12T11:45', '2020-08-13T13:17', '1532', '2904', '1000', 'LH 1218', 'E-195', '463', '17', '23'), 
('Alaska Airlines', '2020-09-21T04:18', '2020-09-21T12:32', '494', '2549', '300', 'AS 214', 'Boeing 747', '569', '20', '21'), 
('WOW Air', '2020-03-18T13:11', '2020-03-19T11:29', '1338', '554', '500', 'WA 267', 'CRJ705', '391', '20', '3'), 
('Frontier Airlines', '2020-09-09T20:37', '2020-09-10T02:34', '357', '9110', '500', 'F9 1396', 'A321', '482', '28', '12'), 
('American Airlines', '2020-10-29T21:32', '2020-10-29T23:22', '110', '4015', '300', 'AA 1811', 'E-175', '90', '24', '8'), 
('WOW Air', '2020-03-12T05:28', '2020-03-13T16:22', '2094', '1456', '500', 'WA 1369', 'E-190', '444', '11', '29'), 
('British Airways', '2020-08-15T05:38', '2020-08-16T07:32', '1554', '5262', '1000', 'BA 1796', 'A318', '259', '16', '17'), 
('Delta Air Lines', '2020-11-10T05:23', '2020-11-11T04:31', '1388', '3317', '500', 'DL 1286', 'E-195', '464', '23', '3'), 
('British Airways', '2020-04-10T02:01', '2020-04-11T21:14', '2593', '7058', '300', 'BA 872', 'A350', '347', '15', '3'), 
('SAS', '2020-09-27T16:49', '2020-09-28T10:34', '1065', '9985', '500', 'SA 260', 'Boeing 787', '515', '27', '16'), 
('Air Canada', '2020-12-03T08:50', '2020-12-03T20:08', '678', '3905', '300', 'AC 147', 'A300', '346', '21', '16'), 
('Air Canada', '2020-11-17T20:28', '2020-11-18T05:08', '520', '5334', '300', 'AC 1050', 'Boeing 747', '240', '17', '24'), 
('Norwegian', '2020-05-06T09:23', '2020-05-07T00:28', '905', '3413', '200', 'NW 1562', 'Millennium Falcon', '166', '11', '14'), 
('American Airlines', '2020-11-13T02:44', '2020-11-14T19:50', '2466', '2474', '500', 'AA 1327', 'Boeing 767', '127', '28', '6'), 
('Delta Air Lines', '2020-09-24T17:45', '2020-09-25T13:23', '1178', '6546', '1000', 'DL 1810', 'A300', '513', '28', '8'), 
('Finnair', '2020-09-02T11:49', '2020-09-02T23:42', '713', '5428', '500', 'FA 594', 'A380', '448', '12', '2'), 
('WOW Air', '2020-02-22T20:01', '2020-02-22T23:25', '204', '7998', '300', 'WA 230', 'A319', '53', '26', '27'), 
('Norwegian', '2020-10-17T02:40', '2020-10-18T01:47', '1387', '9053', '300', 'NW 1630', 'A321', '269', '10', '23'), 
('Air Canada', '2020-11-16T12:05', '2020-11-17T13:02', '1497', '5145', '300', 'AC 1596', 'E-170', '579', '8', '25'), 
('Delta Air Lines', '2020-03-18T09:58', '2020-03-19T04:18', '1100', '7716', '500', 'DL 1317', 'A350', '384', '17', '26'), 
('SAS', '2020-09-15T02:51', '2020-09-15T21:45', '1134', '2109', '500', 'SA 431', 'Boeing 777', '297', '5', '7'), 
('SAS', '2020-10-21T15:26', '2020-10-22T12:04', '1238', '9297', '300', 'SA 818', 'A320', '356', '3', '17'), 
('Finnair', '2020-05-24T01:10', '2020-05-25T09:56', '1966', '2513', '200', 'FA 1093', 'A321', '517', '25', '21'), 
('Delta Air Lines', '2020-12-28T15:53', '2020-12-28T21:27', '334', '8874', '300', 'DL 1984', 'Boeing 747', '343', '14', '28'), 
('Frontier Airlines', '2020-11-11T04:10', '2020-11-11T08:52', '282', '4319', '500', 'F9 1169', 'Boeing 747', '429', '5', '28'), 
('Air Canada', '2020-05-23T07:36', '2020-05-23T22:31', '895', '4653', '1000', 'AC 1275', 'CRJ900', '437', '15', '27'), 
('American Airlines', '2020-07-21T02:43', '2020-07-21T18:43', '960', '9361', '200', 'AA 1038', 'A380', '331', '2', '19'), 
('Lufthansa', '2020-03-06T14:55', '2020-03-07T18:01', '1626', '7722', '200', 'LH 469', 'A319', '432', '23', '27'), 
('SAS', '2020-04-29T02:53', '2020-04-30T21:22', '2549', '1593', '300', 'SA 1868', 'A340', '442', '21', '5'), 
('Norwegian', '2020-09-04T07:30', '2020-09-05T10:24', '1614', '6335', '200', 'NW 1791', 'Boeing 737', '52', '8', '7'), 
('Norwegian', '2020-11-03T16:27', '2020-11-04T17:42', '1515', '1584', '200', 'NW 595', 'A320', '303', '3', '19'), 
('JetBlue Airways', '2020-10-03T18:57', '2020-10-04T03:22', '505', '9434', '200', 'B6 355', 'CRJ1000', '516', '20', '16'), 
('Delta Air Lines', '2020-04-16T12:23', '2020-04-16T15:41', '198', '4993', '500', 'DL 832', 'CRJ1000', '191', '6', '2'), 
('Norwegian', '2020-02-05T10:07', '2020-02-06T09:35', '1408', '6245', '1000', 'NW 558', 'SR-71 Blackbird', '259', '6', '1'), 
('American Airlines', '2020-06-28T08:22', '2020-06-29T07:27', '1385', '6503', '1000', 'AA 1281', 'A340', '247', '0', '3'), 
('Frontier Airlines', '2020-07-19T14:39', '2020-07-20T20:30', '1791', '7161', '1000', 'F9 611', 'A380', '431', '2', '18'), 
('Air Canada', '2020-07-29T07:39', '2020-07-29T18:00', '621', '1879', '1000', 'AC 222', 'CRJ705', '140', '17', '7'), 
('JetBlue Airways', '2020-05-14T04:53', '2020-05-14T16:24', '691', '9197', '500', 'B6 540', 'Boeing 777', '394', '16', '10'), 
('JetBlue Airways', '2020-11-05T11:49', '2020-11-05T23:50', '721', '4493', '1000', 'B6 769', 'A310', '251', '25', '20'), 
('Air Canada', '2020-08-27T13:19', '2020-08-27T18:43', '324', '2271', '1000', 'AC 238', 'Boeing 747', '523', '7', '24'), 
('Lufthansa', '2020-10-15T01:01', '2020-10-15T07:16', '375', '4147', '200', 'LH 1322', 'A220', '220', '10', '24'), 
('Norwegian', '2020-08-08T21:49', '2020-08-08T23:03', '74', '7679', '300', 'NW 510', 'Boeing 767', '77', '13', '5'), 
('SAS', '2020-09-03T07:08', '2020-09-04T13:36', '1828', '661', '300', 'SA 500', 'CRJ705', '193', '5', '9'), 
('Frontier Airlines', '2020-09-11T05:49', '2020-09-11T16:23', '634', '8194', '1000', 'F9 1317', 'E-170', '445', '14', '7'), 
('JetBlue Airways', '2020-04-03T20:46', '2020-04-04T23:52', '1626', '3657', '200', 'B6 380', 'A321', '86', '17', '22'), 
('Finnair', '2020-05-15T01:29', '2020-05-16T02:15', '1486', '7908', '300', 'FA 1927', 'A350', '493', '3', '26'), 
('Air Canada', '2020-12-29T04:26', '2020-12-30T17:11', '2205', '9693', '300', 'AC 874', 'E-170', '485', '2', '5'), 
('WOW Air', '2020-04-03T04:49', '2020-04-03T21:50', '1021', '6913', '500', 'WA 1587', 'E-190', '482', '24', '23'), 
('British Airways', '2020-11-08T15:37', '2020-11-08T21:48', '371', '6000', '200', 'BA 1560', 'Boeing 737', '482', '11', '27'), 
('American Airlines', '2020-12-10T14:32', '2020-12-11T02:06', '694', '2024', '300', 'AA 479', 'E-195', '189', '9', '15'), 
('SAS', '2020-06-10T15:47', '2020-06-10T19:29', '222', '8612', '300', 'SA 1845', 'E-190', '443', '20', '24'), 
('Alaska Airlines', '2020-07-09T05:57', '2020-07-10T01:49', '1192', '8720', '500', 'AS 1209', 'A330', '125', '18', '14'), 
('American Airlines', '2020-08-06T04:40', '2020-08-06T15:12', '632', '3894', '500', 'AA 575', 'CRJ700', '149', '19', '11'), 
('Finnair', '2020-07-25T07:46', '2020-07-26T08:29', '1483', '2166', '500', 'FA 1581', 'CRJ900', '315', '7', '11'), 
('JetBlue Airways', '2020-03-29T08:08', '2020-03-29T19:50', '702', '9133', '500', 'B6 1732', 'CRJ705', '385', '17', '21'), 
('Lufthansa', '2020-05-16T15:53', '2020-05-16T22:44', '411', '4136', '300', 'LH 1517', 'Boeing 737', '164', '11', '8'), 
('WOW Air', '2020-04-16T14:03', '2020-04-17T05:49', '946', '7456', '500', 'WA 1071', 'A319', '555', '14', '0'), 
('British Airways', '2020-10-18T01:12', '2020-10-19T07:17', '1805', '5937', '1000', 'BA 467', 'A340', '185', '3', '4'), 
('British Airways', '2020-03-04T06:49', '2020-03-05T08:01', '1512', '5814', '200', 'BA 1052', 'A340', '425', '17', '24'), 
('British Airways', '2020-10-10T03:27', '2020-10-10T10:31', '424', '4360', '500', 'BA 611', 'A318', '80', '4', '8'), 
('Frontier Airlines', '2020-10-20T12:15', '2020-10-20T14:34', '139', '1065', '1000', 'F9 1054', 'A380', '99', '7', '4'), 
('Lufthansa', '2020-04-01T13:18', '2020-04-02T01:55', '757', '8207', '1000', 'LH 1631', 'A321', '331', '19', '21'), 
('Delta Air Lines', '2020-01-16T02:23', '2020-01-17T01:40', '1397', '7735', '500', 'DL 532', 'Boeing 737', '414', '21', '0'), 
('JetBlue Airways', '2020-09-18T10:27', '2020-09-19T21:28', '2101', '9352', '200', 'B6 1818', 'SR-71 Blackbird', '359', '27', '7'), 
('JetBlue Airways', '2020-02-09T02:22', '2020-02-10T08:46', '1824', '6632', '1000', 'B6 141', 'Boeing 777', '553', '9', '19'), 
