('British Airways', '2019-02-24T16:17', '2019-02-25T17:20', '1503', '4184', '200', 'BA 1425', 'E-170', '477', '14', '15'), 
('Lufthansa', '2019-09-05T14:47', '2019-09-06T18:16', '1649', '9246', '300', 'LH 1237', 'E-190', '175', '2', '8'), 
('Frontier Airlines', '2018-05-15T14:34', '2018-05-15T17:52', '198', '2592', '200', 'F9 802', 'A330', '387', '27', '8'), 
('SAS', '2019-02-12T09:01', '2019-02-13T12:53', '1672', '3546', '300', 'SA 1745', 'A380', '185', '2', '13'), 
('SAS', '2019-08-26T13:30', '2019-08-26T18:35', '305', '5705', '300', 'SA 1563', 'Boeing 747', '53', '4', '22'), 
('British Airways', '2018-02-25T08:19', '2018-02-25T20:55', '756', '1203', '500', 'BA 893', 'A330', '193', '17', '28'), 
('Air Canada', '2018-02-18T21:02', '2018-02-18T23:12', '130', '1408', '1000', 'AC 590', 'CRJ900', '234', '16', '9'), 
('Alaska Airlines', '2018-07-27T01:32', '2018-07-28T05:09', '1657', '7892', '200', 'AS 398', 'Boeing 737', '217', '13', '19'), 
('American Airlines', '2019-05-23T10:06', '2019-05-23T22:32', '746', '2536', '300', 'AA 1068', 'A321', '465', '14', '15'), 
('Air Canada', '2018-10-23T21:10', '2018-10-24T23:52', '1602', '5387', '500', 'AC 344', 'A340', '110', '9', '3'), 
('Finnair', '2019-09-10T01:39', '2019-09-11T18:18', '2439', '1047', '500', 'FA 1602', 'E-170', '71', '23', '13'), 
('Delta Air Lines', '2018-03-11T02:05', '2018-03-11T11:15', '550', '4893', '300', 'DL 1796', 'CRJ705', '128', '8', '25'), 
('Delta Air Lines', '2018-03-02T12:04', '2018-03-02T15:34', '210', '8552', '500', 'DL 447', 'A220', '596', '19', '25'), 
('Air Canada', '2019-11-23T10:51', '2019-11-24T13:32', '1601', '8657', '1000', 'AC 1969', 'A319', '557', '6', '4'), 
('Norwegian', '2019-10-20T23:05', '2019-10-21T08:06', '541', '582', '1000', 'NW 1440', 'SR-71 Blackbird', '300', '7', '11'), 
('Finnair', '2018-03-11T10:00', '2018-03-12T10:53', '1493', '1735', '1000', 'FA 1823', 'SR-71 Blackbird', '332', '17', '28'), 
('WOW Air', '2019-11-30T13:20', '2019-11-30T22:50', '570', '8001', '500', 'WA 520', 'SR-71 Blackbird', '99', '27', '21'), 
('Delta Air Lines', '2019-11-11T16:52', '2019-11-12T11:06', '1094', '1266', '200', 'DL 874', 'Boeing 787', '599', '11', '13'), 
('Finnair', '2018-05-12T19:26', '2018-05-12T22:03', '157', '4219', '500', 'FA 1129', 'A310', '119', '7', '14'), 
('British Airways', '2018-06-22T14:36', '2018-06-23T10:38', '1202', '9947', '200', 'BA 1006', 'A320', '480', '22', '21'), 
('American Airlines', '2018-08-17T16:55', '2018-08-18T10:57', '1082', '8476', '500', 'AA 1876', 'A319', '148', '21', '20'), 
('Finnair', '2019-08-26T07:05', '2019-08-26T13:05', '360', '7315', '500', 'FA 1305', 'A340', '517', '5', '24'), 
('Lufthansa', '2019-05-17T21:27', '2019-05-17T23:17', '110', '4220', '500', 'LH 1203', 'CRJ1000', '476', '17', '28'), 
('Alaska Airlines', '2018-04-29T19:19', '2018-04-29T23:24', '245', '6664', '200', 'AS 1244', 'E-175', '566', '19', '13'), 
('Air Canada', '2019-01-20T11:02', '2019-01-20T18:54', '472', '8451', '500', 'AC 1135', 'A319', '595', '18', '8'), 
('Finnair', '2018-04-28T18:07', '2018-04-28T20:04', '117', '4457', '300', 'FA 1276', 'E-170', '92', '1', '11'), 
('SAS', '2018-05-19T18:51', '2018-05-20T15:48', '1257', '2642', '300', 'SA 1455', 'CRJ900', '381', '0', '4'), 
('Delta Air Lines', '2019-01-08T18:50', '2019-01-08T21:45', '175', '6606', '300', 'DL 607', 'A350', '574', '27', '14'), 
('American Airlines', '2019-11-22T23:26', '2019-11-22T24:11', '45', '5224', '1000', 'AA 1137', 'A319', '125', '8', '24'), 
('British Airways', '2018-08-16T15:47', '2018-08-17T18:05', '1578', '3408', '500', 'BA 657', 'Boeing 767', '110', '13', '7'), 
('WOW Air', '2018-10-17T02:37', '2018-10-17T19:30', '1013', '5600', '300', 'WA 1289', 'A318', '285', '23', '22'), 
('Finnair', '2019-03-24T07:46', '2019-03-25T18:31', '2085', '1570', '500', 'FA 977', 'A330', '214', '16', '26'), 
('British Airways', '2019-07-04T07:34', '2019-07-04T11:54', '260', '7460', '500', 'BA 1716', 'E-190', '206', '23', '24'), 
('Lufthansa', '2019-04-10T22:18', '2019-04-10T24:08', '110', '3689', '300', 'LH 1767', 'CRJ705', '414', '4', '29'), 
('Lufthansa', '2019-07-03T18:47', '2019-07-03T20:36', '109', '9734', '1000', 'LH 746', 'CRJ1000', '528', '13', '11'), 
('Air Canada', '2018-08-08T22:47', '2018-08-09T04:49', '362', '992', '500', 'AC 617', 'A321', '426', '6', '26'), 
('SAS', '2018-04-26T13:42', '2018-04-27T03:08', '806', '9123', '500', 'SA 535', 'A350', '164', '4', '15'), 
('Frontier Airlines', '2019-12-11T02:36', '2019-12-12T18:25', '2389', '1179', '500', 'F9 779', 'Boeing 787', '363', '8', '24'), 
('Finnair', '2019-09-28T10:35', '2019-09-28T18:55', '500', '1507', '500', 'FA 1684', 'Boeing 737', '535', '26', '6'), 
('Norwegian', '2019-09-03T08:15', '2019-09-04T15:01', '1846', '3575', '500', 'NW 1182', 'Boeing 737', '266', '6', '7'), 
('Frontier Airlines', '2018-04-17T03:22', '2018-04-17T09:28', '366', '1411', '200', 'F9 1402', 'A220', '318', '21', '24'), 
('Alaska Airlines', '2018-08-05T05:23', '2018-08-05T09:02', '219', '8355', '300', 'AS 560', 'A319', '233', '19', '28'), 
('Finnair', '2019-09-28T14:18', '2019-09-29T15:15', '1497', '6881', '200', 'FA 1313', 'A300', '399', '25', '0'), 
('Air Canada', '2018-08-15T07:07', '2018-08-16T22:35', '2368', '4844', '300', 'AC 369', 'E-195', '431', '22', '2'), 
('British Airways', '2018-04-15T22:12', '2018-04-16T03:32', '320', '1450', '1000', 'BA 116', 'A220', '382', '2', '9'), 
('Air Canada', '2018-02-14T14:29', '2018-02-14T18:41', '252', '7921', '500', 'AC 674', 'E-170', '325', '1', '10'), 
('SAS', '2019-05-10T03:11', '2019-05-11T14:23', '2112', '8354', '200', 'SA 1552', 'A310', '248', '8', '28'), 
('American Airlines', '2019-06-22T09:32', '2019-06-23T18:20', '1968', '5764', '500', 'AA 792', 'Boeing 767', '224', '23', '18'), 
('Norwegian', '2019-02-14T21:10', '2019-02-14T23:56', '166', '8090', '300', 'NW 652', 'E-195', '511', '18', '1'), 
('JetBlue Airways', '2018-03-11T01:45', '2018-03-11T10:12', '507', '6946', '300', 'B6 1479', 'Boeing 737', '80', '13', '3'), 
('JetBlue Airways', '2018-12-05T07:11', '2018-12-06T12:00', '1729', '1210', '300', 'B6 218', 'SR-71 Blackbird', '203', '26', '1'), 
('Delta Air Lines', '2018-05-05T09:52', '2018-05-05T15:14', '322', '9774', '500', 'DL 1670', 'A220', '515', '23', '8'), 
('Delta Air Lines', '2019-02-03T11:48', '2019-02-03T14:49', '181', '4739', '1000', 'DL 1816', 'Boeing 787', '313', '23', '9'), 
('British Airways', '2019-05-04T01:58', '2019-05-04T12:34', '636', '7609', '1000', 'BA 701', 'A318', '377', '11', '21'), 
('JetBlue Airways', '2018-08-08T03:28', '2018-08-09T22:45', '2597', '1962', '1000', 'B6 601', 'CRJ700', '50', '11', '6'), 
('Lufthansa', '2018-06-24T14:25', '2018-06-24T21:04', '399', '1065', '300', 'LH 954', 'E-170', '560', '7', '10'), 
('Norwegian', '2018-01-10T15:46', '2018-01-10T20:22', '276', '8482', '500', 'NW 1519', 'Boeing 737', '326', '15', '28'), 
('SAS', '2019-06-15T11:01', '2019-06-15T20:38', '577', '4410', '300', 'SA 1461', 'A220', '447', '24', '19'), 
('WOW Air', '2019-03-14T11:47', '2019-03-14T20:18', '511', '9113', '200', 'WA 1548', 'SR-71 Blackbird', '253', '21', '8'), 
('WOW Air', '2018-07-27T18:42', '2018-07-27T21:09', '147', '1850', '300', 'WA 1186', 'Boeing 737', '191', '2', '12'), 
('JetBlue Airways', '2018-07-08T22:26', '2018-07-08T23:23', '57', '2219', '500', 'B6 100', 'CRJ700', '185', '20', '23'), 
('Norwegian', '2018-12-20T13:11', '2018-12-21T10:39', '1288', '8585', '500', 'NW 1915', 'A320', '86', '16', '8'), 
('SAS', '2018-05-27T09:27', '2018-05-27T18:36', '549', '4216', '200', 'SA 876', 'Boeing 777', '426', '13', '22'), 
('British Airways', '2019-03-10T11:21', '2019-03-11T02:21', '900', '3648', '200', 'BA 1509', 'A330', '455', '20', '28'), 
('JetBlue Airways', '2018-11-22T07:30', '2018-11-22T22:25', '895', '661', '1000', 'B6 1313', 'Boeing 787', '428', '16', '26'), 
('Finnair', '2018-09-28T22:46', '2018-09-29T14:49', '963', '3099', '200', 'FA 666', 'CRJ900', '78', '9', '14'), 
('Alaska Airlines', '2019-09-18T17:19', '2019-09-19T09:35', '976', '2490', '300', 'AS 1580', 'Boeing 767', '289', '6', '3'), 
('Finnair', '2018-07-08T05:14', '2018-07-09T14:05', '1971', '3221', '500', 'FA 1797', 'A220', '257', '29', '11'), 
('Frontier Airlines', '2019-07-10T09:45', '2019-07-11T03:17', '1052', '4750', '300', 'F9 1496', 'Boeing 787', '209', '9', '12'), 
('JetBlue Airways', '2019-09-25T08:20', '2019-09-26T14:07', '1787', '2509', '300', 'B6 1395', 'E-170', '250', '27', '1'), 
('Finnair', '2019-06-20T18:27', '2019-06-20T23:37', '310', '5769', '500', 'FA 860', 'Boeing 737', '483', '22', '2'), 
('American Airlines', '2019-03-07T08:34', '2019-03-08T18:52', '2058', '2969', '200', 'AA 1666', 'A318', '65', '6', '1'), 
('Finnair', '2018-12-20T01:27', '2018-12-20T14:50', '803', '5467', '300', 'FA 1945', 'A320', '74', '1', '17'), 
('Frontier Airlines', '2019-07-11T12:09', '2019-07-12T04:10', '961', '2674', '300', 'F9 1832', 'E-195', '157', '24', '19'), 
('SAS', '2018-12-20T02:25', '2018-12-20T21:51', '1166', '9509', '300', 'SA 938', 'A220', '550', '8', '14'), 
('Lufthansa', '2018-08-28T11:47', '2018-08-29T03:25', '938', '6190', '200', 'LH 719', 'Millennium Falcon', '392', '23', '2'), 
('Finnair', '2019-02-30T21:54', '2019-02-31T14:21', '987', '8336', '500', 'FA 256', 'A350', '509', '2', '19'), 
('Delta Air Lines', '2019-02-24T06:31', '2019-02-25T07:34', '1503', '4594', '1000', 'DL 599', 'CRJ705', '62', '11', '8'), 
('JetBlue Airways', '2018-08-12T02:13', '2018-08-12T16:50', '877', '2072', '500', 'B6 1590', 'A350', '399', '2', '22'), 
('SAS', '2018-03-20T13:44', '2018-03-20T18:37', '293', '8257', '1000', 'SA 1932', 'CRJ705', '381', '17', '7'), 
('Norwegian', '2019-08-10T03:24', '2019-08-10T18:12', '888', '7500', '300', 'NW 327', 'Boeing 737', '236', '6', '5'), 
('Lufthansa', '2019-10-16T19:26', '2019-10-16T21:14', '108', '4896', '300', 'LH 1235', 'E-175', '451', '29', '14'), 
('Air Canada', '2019-10-04T04:30', '2019-10-04T18:11', '821', '4811', '500', 'AC 1083', 'E-195', '98', '15', '26'), 
('JetBlue Airways', '2018-06-12T20:25', '2018-06-12T23:35', '190', '9311', '500', 'B6 136', 'E-195', '299', '5', '8'), 
('Frontier Airlines', '2019-10-12T20:02', '2019-10-13T08:25', '743', '2405', '200', 'F9 1588', 'Boeing 777', '258', '11', '25'), 
('Finnair', '2018-04-22T13:10', '2018-04-22T16:49', '219', '9247', '500', 'FA 538', 'A220', '479', '7', '16'), 
('Frontier Airlines', '2018-08-15T13:03', '2018-08-15T21:38', '515', '5047', '500', 'F9 942', 'SR-71 Blackbird', '107', '11', '27'), 
('Lufthansa', '2018-08-20T15:07', '2018-08-21T16:13', '1506', '2054', '1000', 'LH 1714', 'A319', '531', '14', '5'), 
('Frontier Airlines', '2019-11-21T21:32', '2019-11-22T21:56', '1464', '6868', '300', 'F9 1509', 'A300', '321', '2', '21'), 
('Finnair', '2018-10-10T17:31', '2018-10-10T20:48', '197', '5171', '300', 'FA 1673', 'Boeing 787', '183', '29', '25'), 
('British Airways', '2019-01-23T19:29', '2019-01-24T18:13', '1364', '828', '1000', 'BA 467', 'E-170', '130', '19', '12'), 
('JetBlue Airways', '2018-10-12T16:17', '2018-10-13T09:11', '1014', '2156', '300', 'B6 1653', 'CRJ705', '395', '18', '1'), 
('Norwegian', '2019-10-11T11:50', '2019-10-12T19:00', '1870', '9862', '300', 'NW 1616', 'A380', '165', '16', '14'), 
('SAS', '2018-03-19T16:58', '2018-03-19T20:13', '195', '4646', '200', 'SA 1382', 'A310', '195', '5', '11'), 
('Air Canada', '2019-08-23T14:34', '2019-08-23T19:22', '288', '9669', '300', 'AC 1309', 'E-195', '51', '3', '15'), 
('Delta Air Lines', '2019-09-15T11:37', '2019-09-15T13:23', '106', '9750', '200', 'DL 1873', 'E-190', '446', '23', '3'), 
('Air Canada', '2019-03-11T02:06', '2019-03-12T03:30', '1524', '5062', '300', 'AC 1707', 'E-195', '300', '26', '8'), 
('SAS', '2019-03-17T23:26', '2019-03-17T25:32', '126', '8732', '300', 'SA 119', 'E-170', '200', '16', '18'), 
('American Airlines', '2019-05-11T06:26', '2019-05-12T15:14', '1968', '8135', '200', 'AA 719', 'E-175', '231', '5', '3'), 
('JetBlue Airways', '2018-03-11T19:30', '2018-03-12T03:39', '489', '9793', '500', 'B6 297', 'A318', '361', '19', '3'), 
('SAS', '2018-08-11T02:20', '2018-08-11T14:47', '747', '2025', '300', 'SA 164', 'A380', '136', '0', '7'), 
('SAS', '2018-03-07T11:04', '2018-03-08T16:23', '1759', '8293', '500', 'SA 1440', 'Boeing 747', '100', '25', '23'), 
('JetBlue Airways', '2018-11-15T20:17', '2018-11-16T12:02', '945', '5899', '1000', 'B6 1395', 'Boeing 767', '195', '1', '3'), 
('Delta Air Lines', '2019-01-18T12:08', '2019-01-19T03:59', '951', '3831', '500', 'DL 1996', 'Boeing 787', '422', '2', '3'), 
('SAS', '2018-09-11T11:36', '2018-09-11T13:09', '93', '9832', '500', 'SA 1141', 'A340', '317', '11', '14'), 
('SAS', '2019-05-22T19:54', '2019-05-23T06:17', '623', '3723', '200', 'SA 1389', 'A330', '401', '1', '19'), 
('Alaska Airlines', '2018-01-08T07:58', '2018-01-09T07:03', '1385', '5956', '200', 'AS 197', 'A380', '160', '14', '20'), 
('Alaska Airlines', '2018-03-01T14:11', '2018-03-02T09:05', '1134', '5607', '500', 'AS 1783', 'Boeing 777', '569', '19', '6'), 
('Delta Air Lines', '2018-05-15T04:34', '2018-05-15T09:49', '315', '654', '200', 'DL 1367', 'Boeing 747', '376', '16', '13'), 
('Finnair', '2018-09-12T16:05', '2018-09-13T03:28', '683', '878', '500', 'FA 1744', 'CRJ900', '217', '14', '17'), 
('JetBlue Airways', '2018-10-05T00:25', '2018-10-06T15:50', '2365', '2916', '1000', 'B6 151', 'A319', '290', '21', '7'), 
('JetBlue Airways', '2019-11-28T06:43', '2019-11-29T18:16', '2133', '9039', '200', 'B6 722', 'A319', '565', '24', '11'), 
('Delta Air Lines', '2019-08-08T07:26', '2019-08-09T10:46', '1640', '9094', '200', 'DL 1735', 'SR-71 Blackbird', '541', '17', '15'), 
('Delta Air Lines', '2019-06-10T12:47', '2019-06-11T15:28', '1601', '7094', '500', 'DL 1032', 'A350', '483', '13', '20'), 
('Air Canada', '2018-05-23T03:51', '2018-05-24T12:37', '1966', '3865', '300', 'AC 411', 'A300', '201', '25', '5'), 
('Frontier Airlines', '2018-06-10T08:24', '2018-06-10T15:56', '452', '5374', '500', 'F9 1967', 'E-190', '254', '26', '14'), 
('SAS', '2019-07-13T09:00', '2019-07-13T11:35', '155', '3514', '300', 'SA 847', 'A300', '213', '11', '29'), 
('Finnair', '2018-11-13T06:57', '2018-11-14T09:11', '1574', '1570', '1000', 'FA 1469', 'A310', '137', '17', '22'), 
('Delta Air Lines', '2018-06-20T13:11', '2018-06-20T19:31', '380', '9916', '300', 'DL 810', 'Boeing 747', '398', '11', '7'), 
('Alaska Airlines', '2019-09-23T14:12', '2019-09-24T11:44', '1292', '7817', '300', 'AS 1598', 'A380', '550', '0', '11'), 
('SAS', '2019-01-14T02:28', '2019-01-14T14:01', '693', '2384', '500', 'SA 1860', 'E-170', '174', '9', '25'), 
('Frontier Airlines', '2019-06-26T23:09', '2019-06-27T13:32', '863', '3893', '500', 'F9 1126', 'A319', '369', '4', '13'), 
('SAS', '2018-05-17T01:07', '2018-05-17T05:48', '281', '9641', '1000', 'SA 1928', 'Boeing 767', '382', '27', '24'), 
('Finnair', '2018-01-10T03:11', '2018-01-10T16:44', '813', '9299', '1000', 'FA 623', 'CRJ900', '170', '27', '19'), 
('Delta Air Lines', '2019-04-18T06:34', '2019-04-18T09:48', '194', '5990', '1000', 'DL 1357', 'A350', '426', '18', '20'), 
('Finnair', '2018-07-12T00:46', '2018-07-13T08:31', '1905', '1264', '300', 'FA 1447', 'Boeing 747', '57', '8', '15'), 
('JetBlue Airways', '2019-02-21T22:09', '2019-02-22T12:15', '846', '6694', '500', 'B6 1094', 'A318', '396', '4', '12'), 
('JetBlue Airways', '2018-10-24T19:16', '2018-10-25T01:24', '368', '769', '300', 'B6 509', 'A321', '398', '12', '26'), 
('Delta Air Lines', '2019-08-22T19:40', '2019-08-23T07:19', '699', '8696', '500', 'DL 358', 'A320', '180', '20', '8'), 
('Frontier Airlines', '2018-02-22T14:14', '2018-02-22T23:07', '533', '7125', '300', 'F9 1299', 'Boeing 777', '134', '10', '2'), 
('Frontier Airlines', '2018-09-05T19:41', '2018-09-06T12:40', '1019', '621', '1000', 'F9 1983', 'Boeing 747', '574', '6', '11'), 
('Lufthansa', '2018-10-25T07:07', '2018-10-26T11:50', '1723', '8205', '200', 'LH 1369', 'E-170', '240', '2', '17'), 
('SAS', '2019-08-03T14:49', '2019-08-04T09:21', '1112', '9401', '1000', 'SA 1211', 'A320', '118', '9', '24'), 
('Frontier Airlines', '2018-08-04T08:55', '2018-08-04T12:22', '207', '8848', '300', 'F9 436', 'A300', '398', '1', '17'), 
('SAS', '2019-10-02T03:39', '2019-10-02T14:54', '675', '7088', '1000', 'SA 1754', 'E-170', '518', '24', '5'), 
('Norwegian', '2019-05-13T05:44', '2019-05-14T16:00', '2056', '4511', '200', 'NW 425', 'A320', '76', '3', '9'), 
('Norwegian', '2019-11-30T01:27', '2019-11-31T21:42', '2655', '7143', '300', 'NW 595', 'E-195', '536', '24', '29'), 
('JetBlue Airways', '2019-03-13T23:26', '2019-03-13T23:25', '-1', '8851', '500', 'B6 234', 'Boeing 787', '399', '15', '10'), 
('American Airlines', '2019-12-22T01:02', '2019-12-22T19:58', '1136', '6402', '300', 'AA 956', 'E-170', '405', '9', '8'), 
('Delta Air Lines', '2018-07-02T01:43', '2018-07-02T10:01', '498', '6017', '500', 'DL 1123', 'CRJ700', '576', '14', '17'), 
('American Airlines', '2019-03-26T20:30', '2019-03-27T19:01', '1351', '9949', '200', 'AA 1549', 'E-190', '215', '19', '10'), 
('Air Canada', '2018-08-27T08:06', '2018-08-28T01:41', '1055', '3748', '1000', 'AC 1008', 'Boeing 747', '381', '29', '13'), 
('SAS', '2018-08-29T16:31', '2018-08-30T05:16', '765', '4789', '200', 'SA 1491', 'Boeing 777', '226', '6', '23'), 
('Lufthansa', '2018-01-19T05:25', '2018-01-19T11:46', '381', '5933', '1000', 'LH 358', 'Boeing 777', '500', '6', '5'), 
('SAS', '2018-03-25T19:52', '2018-03-25T21:29', '97', '3375', '500', 'SA 1352', 'A320', '181', '27', '10'), 
('Lufthansa', '2019-02-23T16:38', '2019-02-23T21:56', '318', '4904', '500', 'LH 565', 'Boeing 747', '433', '3', '12'), 
('Alaska Airlines', '2018-04-14T06:02', '2018-04-15T13:53', '1911', '8935', '300', 'AS 1254', 'Boeing 777', '370', '24', '11'), 
('Frontier Airlines', '2019-11-11T02:19', '2019-11-11T15:07', '768', '2595', '1000', 'F9 1608', 'A319', '496', '9', '26'), 
('Norwegian', '2018-09-27T17:18', '2018-09-28T23:29', '1811', '2555', '500', 'NW 156', 'Boeing 747', '351', '2', '21'), 
('British Airways', '2019-05-29T22:03', '2019-05-29T24:51', '168', '3627', '1000', 'BA 1479', 'A340', '544', '16', '13'), 
('JetBlue Airways', '2018-02-19T16:32', '2018-02-19T23:40', '428', '2576', '500', 'B6 1811', 'A340', '144', '11', '15'), 
('Lufthansa', '2019-08-27T16:37', '2019-08-27T22:25', '348', '8317', '1000', 'LH 1621', 'A330', '362', '13', '17'), 
('Air Canada', '2019-07-25T16:56', '2019-07-26T11:21', '1105', '7472', '1000', 'AC 1170', 'E-195', '108', '13', '20'), 
('Lufthansa', '2018-09-21T19:47', '2018-09-22T13:06', '1039', '628', '500', 'LH 365', 'A380', '581', '29', '22'), 
('Air Canada', '2018-02-27T04:47', '2018-02-28T13:50', '1983', '6512', '500', 'AC 133', 'A318', '319', '4', '19'), 
('SAS', '2018-10-27T02:14', '2018-10-28T09:50', '1896', '9328', '500', 'SA 863', 'A310', '499', '26', '0'), 
('Finnair', '2019-07-28T15:40', '2019-07-29T01:56', '616', '2329', '500', 'FA 927', 'CRJ700', '406', '26', '8'), 
('Alaska Airlines', '2019-08-30T05:20', '2019-08-30T12:12', '412', '8433', '500', 'AS 1097', 'A220', '545', '16', '26'), 
('British Airways', '2019-01-07T12:18', '2019-01-07T19:41', '443', '5510', '500', 'BA 977', 'A300', '436', '15', '27'), 
('Finnair', '2019-01-24T14:47', '2019-01-24T20:47', '360', '4708', '200', 'FA 195', 'E-175', '574', '24', '20'), 
('Norwegian', '2018-09-15T15:17', '2018-09-15T23:09', '472', '2448', '200', 'NW 1711', 'CRJ700', '104', '8', '14'), 
('Frontier Airlines', '2018-04-27T14:21', '2018-04-28T06:36', '975', '4569', '1000', 'F9 341', 'A319', '448', '23', '14'), 
('Finnair', '2019-09-17T22:52', '2019-09-17T24:50', '118', '9516', '500', 'FA 130', 'A350', '401', '21', '17'), 
('Lufthansa', '2018-08-11T02:01', '2018-08-11T13:50', '709', '3008', '200', 'LH 842', 'A300', '234', '24', '2'), 
('Norwegian', '2019-02-03T14:23', '2019-02-04T22:30', '1927', '5081', '300', 'NW 1175', 'A220', '424', '16', '2'), 
('Air Canada', '2018-05-22T16:58', '2018-05-23T10:08', '1030', '872', '300', 'AC 198', 'Boeing 737', '232', '14', '5'), 
('SAS', '2018-08-29T15:58', '2018-08-30T20:51', '1733', '7465', '500', 'SA 1297', 'E-175', '133', '24', '14'), 
('SAS', '2018-09-22T00:08', '2018-09-22T18:52', '1124', '3588', '300', 'SA 142', 'E-195', '160', '23', '16'), 
('WOW Air', '2019-07-14T09:13', '2019-07-14T14:42', '329', '2960', '300', 'WA 199', 'A380', '402', '23', '28'), 
('Lufthansa', '2018-07-16T21:03', '2018-07-17T14:02', '1019', '7250', '1000', 'LH 623', 'Boeing 747', '163', '25', '1'), 
('Alaska Airlines', '2018-06-28T08:52', '2018-06-29T16:47', '1915', '5222', '1000', 'AS 157', 'CRJ1000', '405', '27', '13'), 
